"id commande"	"quantité"	"ean"
"005ed9e9-03b5-4612-924b-7db03ad9f98b"	"1.0"	"0186200064933"
"005ed9e9-03b5-4612-924b-7db03ad9f98b"	"1.0"	"4330142327229"
"005ed9e9-03b5-4612-924b-7db03ad9f98b"	"1.0"	"6023475147319"
"005ed9e9-03b5-4612-924b-7db03ad9f98b"	"1.0"	"7290992455572"
"00762e88-ee1d-4f35-8eea-3f759933c2cc"	"1.0"	"8726928135144"
"00762e88-ee1d-4f35-8eea-3f759933c2cc"	"1.0"	"4132251482840"
"00762e88-ee1d-4f35-8eea-3f759933c2cc"	"1.0"	"0374642730404"
"008fa607-70b6-4b89-98b0-d4edc106e0a8"	"1.0"	"5167189489462"
"008fa607-70b6-4b89-98b0-d4edc106e0a8"	"1.0"	"8013041309409"
"008fa607-70b6-4b89-98b0-d4edc106e0a8"	"1.0"	"1708051705552"
"008fa607-70b6-4b89-98b0-d4edc106e0a8"	"1.0"	"6915494211501"
"008fa607-70b6-4b89-98b0-d4edc106e0a8"	"1.0"	"4522136113240"
"008fa607-70b6-4b89-98b0-d4edc106e0a8"	"1.0"	"7922850253111"
"008fa607-70b6-4b89-98b0-d4edc106e0a8"	"1.0"	"0788979119892"
"020adc03-5010-4644-b581-68869bb2e3fb"	"1.0"	"8878271342592"
"0299ec55-ad0c-4134-9658-7c448f44b61b"	"1.0"	"0726012689155"
"0299ec55-ad0c-4134-9658-7c448f44b61b"	"1.0"	"1792630658018"
"0299ec55-ad0c-4134-9658-7c448f44b61b"	"1.0"	"0447366293965"
"0299ec55-ad0c-4134-9658-7c448f44b61b"	"1.0"	"1616014378272"
"033243cc-b869-41c0-a13d-4a447721e368"	"1.0"	"4629084374058"
"033243cc-b869-41c0-a13d-4a447721e368"	"1.0"	"1197683738128"
"033243cc-b869-41c0-a13d-4a447721e368"	"1.0"	"7867559105043"
"03d84899-4fa8-4235-9a23-26c1a8c6714f"	"1.0"	"3476511225381"
"03d84899-4fa8-4235-9a23-26c1a8c6714f"	"1.0"	"6391196104912"
"03d84899-4fa8-4235-9a23-26c1a8c6714f"	"1.0"	"8761233778983"
"03d84899-4fa8-4235-9a23-26c1a8c6714f"	"1.0"	"0663920593184"
"03f5f434-0d9c-46b3-bad6-accdb84c5ddd"	"1.0"	"3476511225381"
"03f5f434-0d9c-46b3-bad6-accdb84c5ddd"	"1.0"	"6391196104912"
"03f5f434-0d9c-46b3-bad6-accdb84c5ddd"	"1.0"	"2680754376729"
"03f5f434-0d9c-46b3-bad6-accdb84c5ddd"	"1.0"	"3677427082864"
"059ffab9-8201-44dd-952a-94a80d98c7c2"	"1.0"	"4942354382127"
"059ffab9-8201-44dd-952a-94a80d98c7c2"	"1.0"	"9658034874459"
"059ffab9-8201-44dd-952a-94a80d98c7c2"	"1.0"	"8809077424250"
"059ffab9-8201-44dd-952a-94a80d98c7c2"	"1.0"	"7283308216448"
"05a8541c-7551-4dc7-a5b5-482f6c1f1e55"	"1.0"	"0972486720058"
"05a8541c-7551-4dc7-a5b5-482f6c1f1e55"	"1.0"	"4804562892532"
"05a8541c-7551-4dc7-a5b5-482f6c1f1e55"	"1.0"	"9869104408744"
"05a8541c-7551-4dc7-a5b5-482f6c1f1e55"	"1.0"	"5126071057400"
"05ad0c44-7e94-4210-80a4-6556e4dcb678"	"1.0"	"0726012689155"
"05ad0c44-7e94-4210-80a4-6556e4dcb678"	"1.0"	"1639309088618"
"05ad0c44-7e94-4210-80a4-6556e4dcb678"	"1.0"	"3821585882761"
"060e2367-6082-4448-a7dd-fe608b034037"	"1.0"	"8064812050068"
"060e2367-6082-4448-a7dd-fe608b034037"	"1.0"	"9979911934067"
"060e2367-6082-4448-a7dd-fe608b034037"	"1.0"	"3057304701321"
"06a2168b-5a56-438a-816d-974175931647"	"1.0"	"2680754376729"
"06a2168b-5a56-438a-816d-974175931647"	"1.0"	"7569466852514"
"06a2168b-5a56-438a-816d-974175931647"	"1.0"	"9979911934067"
"06a2168b-5a56-438a-816d-974175931647"	"1.0"	"1197683738128"
"0705c2f4-78e9-441b-a8e6-66a12ae4798a"	"1.0"	"4804562892532"
"0705c2f4-78e9-441b-a8e6-66a12ae4798a"	"1.0"	"5461686155418"
"0705c2f4-78e9-441b-a8e6-66a12ae4798a"	"1.0"	"5273945021590"
"0705c2f4-78e9-441b-a8e6-66a12ae4798a"	"1.0"	"8719299690534"
"0705c2f4-78e9-441b-a8e6-66a12ae4798a"	"1.0"	"1197683738128"
"0705c2f4-78e9-441b-a8e6-66a12ae4798a"	"1.0"	"7283308216448"
